code,name,from,to
DEU,West Germany,1960,1989
ATG,Antigua,1977,1980
CZE,Czech Republic,1993,2022
YUG,FR Yugoslavia,1991,1991
SCG,FR Yugoslavia,1992,2002
MKD,FYR Macedonia,1993,2018
